START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
Real space primitive cell translation vectors (au)
  1.2566678783689527E+01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.1735199285219844E+01  0.0000000000000000E+00
 -2.2141921099021080E+00  0.0000000000000000E+00  1.2792198700388100E+01
Number of atoms in the primitive cell
 32
Positions of atoms (au)
  1  7.4850093989381428E+00  3.4221140680362656E+00  3.4711347733480435E+00
  1  2.8674890856376067E+00  9.2897491052166572E+00  9.3210082557081808E+00
  1  6.8103778875938987E+00  1.6336279907130083E-01  3.1599112411803882E+00
  1  3.5420847866716332E+00  6.0310151272458077E+00  9.6322735130288528E+00
  1  3.6081046745898746E+00  4.5289350355541549E+00  1.0321900889408826E+00
  1  6.7442959221721930E+00  1.0396608264099692E+01  1.1760037391976221E+01
  1  3.2404546192929229E+00  2.3916168713542665E+00  1.1973679113813098E+01
  1  7.1120155193908339E+00  8.2592041173607562E+00  8.1850987338267822E-01
  1  1.0874463613678664E+00  1.0077392607684528E+01  3.6984344719130910E+00
  1  9.2650836816343034E+00  4.2098162465005657E+00  9.0938566549801685E+00
  1  1.1236216702988905E+01  5.2064054446733110E-01  2.9352116734933626E+00
  1 -8.8371502477598818E-01  6.3883007905943350E+00  9.8570305661848394E+00
  1  1.0475192449746695E+00  4.0165353599852027E+00  5.0111846408989731E+00
  1  9.3049800332860571E+00  9.8841256106562430E+00  7.7810237159896660E+00
  1  7.0130303039474684E-01  1.5111584305203423E+00  7.2418508918987845E+00
  1  9.6512561710816520E+00  7.3787344515536022E+00  5.5503283821046701E+00
  6  4.4208926273175271E+00  2.0342646707486005E+00  5.7212795465379243E+00
  6  5.9316195388754247E+00  7.9018166733627133E+00  7.0708744429298704E+00
  6  5.9363554760233557E+00  2.0492959114575386E+00  3.2907011899471041E+00
  6  4.4161390779220371E+00  7.9169332918983351E+00  9.5014739833506408E+00
  6  4.3438807127103445E+00  2.5777530435118927E+00  9.2365699441658955E-01
  6  6.0085812434592558E+00  8.4454047102822525E+00  1.1868535375388966E+01
  6  2.0471964635184250E+00  8.8059021143717098E-01  7.7112576538828537E-01
  6  8.3052705004254275E+00  6.7482305776452565E+00  1.2021099844699947E+01
  6  7.1148884322361383E-01  3.4295940387072371E-01  3.2485982428845031E+00
  6  9.6410244379077561E+00  6.2105906049070656E+00  9.5436315434984813E+00
  6  1.5822772341821203E+00  2.0423430987885967E+00  5.4394459611547132E+00
  6  8.7702458168333575E+00  7.9099283227881241E+00  7.3527442732603134E+00
  8  5.4753874561610409E+00  1.9988355938804665E+00  7.7903237007964821E+00
  8  4.8771264863744772E+00  7.8662665406385059E+00  5.0018022262382420E+00
  8 -8.9838674508814420E-01  1.1687583496801562E+01  1.1567520710708999E+01
  8  1.1250765326540762E+01  5.8199480627786802E+00  1.2247020836872964E+00
Energy cutoff used for G-vectors (au)
  3.0000000000000000E+01
Number of particle types (1=electrons,2=electrons/holes)
  1
Number of G-vectors
 14797
Primitive cell G-vectors (au)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00 -4.9117321066854291E-01
  0.0000000000000000E+00  0.0000000000000000E+00  4.9117321066854291E-01
  4.9998773863263074E-01  0.0000000000000000E+00  8.6542503900801759E-02
 -4.9998773863263074E-01  0.0000000000000000E+00 -8.6542503900801759E-02
  0.0000000000000000E+00 -5.3541360095120683E-01  0.0000000000000000E+00
  0.0000000000000000E+00  5.3541360095120683E-01  0.0000000000000000E+00
  4.9998773863263074E-01  0.0000000000000000E+00 -4.0463070676774116E-01
 -4.9998773863263074E-01  0.0000000000000000E+00  4.0463070676774116E-01
  0.0000000000000000E+00 -5.3541360095120683E-01 -4.9117321066854291E-01
  0.0000000000000000E+00  5.3541360095120683E-01 -4.9117321066854291E-01
  0.0000000000000000E+00 -5.3541360095120683E-01  4.9117321066854291E-01
  0.0000000000000000E+00  5.3541360095120683E-01  4.9117321066854291E-01
 -4.9998773863263074E-01 -5.3541360095120683E-01 -8.6542503900801759E-02
  4.9998773863263074E-01 -5.3541360095120683E-01  8.6542503900801759E-02
 -4.9998773863263074E-01  5.3541360095120683E-01 -8.6542503900801759E-02
  4.9998773863263074E-01  5.3541360095120683E-01  8.6542503900801759E-02
 -4.9998773863263074E-01  0.0000000000000000E+00 -5.7771571456934467E-01
  4.9998773863263074E-01  0.0000000000000000E+00  5.7771571456934467E-01
  4.9998773863263074E-01 -5.3541360095120683E-01 -4.0463070676774116E-01
  4.9998773863263074E-01  5.3541360095120683E-01 -4.0463070676774116E-01
 -4.9998773863263074E-01 -5.3541360095120683E-01  4.0463070676774116E-01
 -4.9998773863263074E-01  5.3541360095120683E-01  4.0463070676774116E-01
 -4.9998773863263074E-01  5.3541360095120683E-01 -5.7771571456934467E-01
 -4.9998773863263074E-01 -5.3541360095120683E-01 -5.7771571456934467E-01
  4.9998773863263074E-01 -5.3541360095120683E-01  5.7771571456934467E-01
  4.9998773863263074E-01  5.3541360095120683E-01  5.7771571456934467E-01
  0.0000000000000000E+00  0.0000000000000000E+00  9.8234642133708583E-01
  0.0000000000000000E+00  0.0000000000000000E+00 -9.8234642133708583E-01
 -9.9997547726526148E-01  0.0000000000000000E+00 -1.7308500780160352E-01
  9.9997547726526148E-01  0.0000000000000000E+00  1.7308500780160352E-01
  4.9998773863263074E-01  0.0000000000000000E+00 -8.9580391743628407E-01
