START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
Real space primitive cell translation vectors (au)
  1.4327903539538946E+01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.0149719059728790E+01  0.0000000000000000E+00
 -8.9635379661164709E+00  0.0000000000000000E+00  1.6183954752736568E+01
Number of atoms in the primitive cell
 36
Positions of atoms (au)
  1 -5.8626645283275840E+00  2.7048692134981880E+00  1.5867280286641337E+01
  1  1.1227029950571968E+01  7.4448494871826352E+00  3.1667459837605466E-01
  1  6.7452615722260951E+00  7.7797293858694685E+00  8.4086520692306443E+00
  1 -1.3808958287282689E+00  2.3699899573182406E+00  7.7753028724785356E+00
  1 -2.5548048518610139E-01  4.2415333910176561E-01  2.4283070947517054E+00
  1  5.6198457184578725E+00  9.7255659095996378E+00  1.3755647998135563E+01
  1  1.0101615381817515E+01  5.4990126799935464E+00  5.6636706784590656E+00
  1 -4.7372499784703930E+00  4.6507062096598908E+00  1.0520284149866544E+01
  1  1.7977938289044784E+00  7.0415950073296791E+00  6.3168942194370397E+00
  1  3.5665719712851320E+00  3.1081244303443363E+00  9.8670602309433448E+00
  1  8.0483415023639466E+00  1.9667351940063644E+00  1.7750834214929012E+00
  1 -2.6839759667359937E+00  8.1829835633662444E+00  1.4408871180065576E+01
  1  4.4731029824717421E+00  6.8489005595251342E+00  1.8440679684601986E+00
  1  8.9126289330691444E-01  3.3008181411556885E+00  1.4339886538611971E+01
  1  5.3730330479953530E+00  1.7740415398867964E+00  6.2479095212916524E+00
  1 -8.6670588331280406E-03  8.3756777466091297E+00  9.9360453448284805E+00
  6  6.3739808616990745E-01  2.2074361877989506E+00  2.8955642554650933E+00
  6  4.7269672604854316E+00  7.9422830231079278E+00  1.3288390667346825E+01
  6  9.2087369238450751E+00  7.2822957743551289E+00  5.1964138201018590E+00
  6 -3.8443714449089068E+00  2.8674231152983070E+00  1.0987540970429231E+01
  6  1.7434945326884490E+00  5.6214865298645336E+00  4.8435761563303954E+00
  6  3.6208711163230718E+00  4.5282327755286520E+00  1.1340378388536296E+01
  6  8.1026413843950760E+00  5.4662713228096937E-01  3.2484011255515819E+00
  6 -2.7382758298698628E+00  9.6030917384752055E+00  1.2935553513801418E+01
  6  3.0876901224707747E+00  5.5588757834790625E+00  2.6210019393987372E+00
  6  2.2766756021297905E+00  4.5908431439688968E+00  1.3562952643262477E+01
  6  6.7584454166675236E+00  4.8401708509416735E-01  5.4709759094010790E+00
  6 -1.3940796164779135E+00  9.6657020691209272E+00  1.0712978937821793E+01
  7  2.3582745056711096E+00  3.3792925337143722E+00  1.4023977562778656E+00
  7  3.0060910488541035E+00  6.7704262992472817E+00  1.4781557072047747E+01
  7  7.4878608444945760E+00  8.4541522147568582E+00  6.6895798846520753E+00
  7 -2.1234950632022267E+00  1.6955669583554993E+00  9.4943750381598431E+00
  7  2.1015993923155818E-01  3.5141483794340824E+00  5.0062829558719253E+00
  7  5.1542055208073494E+00  6.6355711338289787E+00  1.1177671815761903E+01
  7  9.6359752597560373E+00  8.5890073234833757E+00  3.0856945338799249E+00
  7 -4.2716098942034364E+00  1.5607113771974477E+00  1.3098260124370334E+01
Energy cutoff used for G-vectors (au)
  3.0000000000000000E+01
Number of particle types (1=electrons,2=electrons/holes)
  1
Number of G-vectors
 18457
Primitive cell G-vectors (au)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  3.8823547168637212E-01
  0.0000000000000000E+00  0.0000000000000000E+00 -3.8823547168637212E-01
 -4.3852788999037123E-01  0.0000000000000000E+00  1.4535531963546616E-01
  4.3852788999037123E-01  0.0000000000000000E+00 -1.4535531963546616E-01
  4.3852788999037123E-01  0.0000000000000000E+00  2.4288015205090596E-01
 -4.3852788999037123E-01  0.0000000000000000E+00 -2.4288015205090596E-01
  0.0000000000000000E+00 -6.1905016978346572E-01  0.0000000000000000E+00
  0.0000000000000000E+00  6.1905016978346572E-01  0.0000000000000000E+00
 -4.3852788999037123E-01  0.0000000000000000E+00  5.3359079132183829E-01
  4.3852788999037123E-01  0.0000000000000000E+00 -5.3359079132183829E-01
  0.0000000000000000E+00 -6.1905016978346572E-01  3.8823547168637212E-01
  0.0000000000000000E+00  6.1905016978346572E-01  3.8823547168637212E-01
  0.0000000000000000E+00  6.1905016978346572E-01 -3.8823547168637212E-01
  0.0000000000000000E+00 -6.1905016978346572E-01 -3.8823547168637212E-01
 -4.3852788999037123E-01  0.0000000000000000E+00 -6.3111562373727814E-01
  4.3852788999037123E-01  0.0000000000000000E+00  6.3111562373727814E-01
 -4.3852788999037123E-01 -6.1905016978346572E-01  1.4535531963546616E-01
 -4.3852788999037123E-01  6.1905016978346572E-01  1.4535531963546616E-01
  4.3852788999037123E-01  6.1905016978346572E-01 -1.4535531963546616E-01
  4.3852788999037123E-01 -6.1905016978346572E-01 -1.4535531963546616E-01
  0.0000000000000000E+00  0.0000000000000000E+00 -7.7647094337274425E-01
  0.0000000000000000E+00  0.0000000000000000E+00  7.7647094337274425E-01
  4.3852788999037123E-01  6.1905016978346572E-01  2.4288015205090596E-01
 -4.3852788999037123E-01 -6.1905016978346572E-01 -2.4288015205090596E-01
  4.3852788999037123E-01 -6.1905016978346572E-01  2.4288015205090596E-01
 -4.3852788999037123E-01  6.1905016978346572E-01 -2.4288015205090596E-01
  8.7705577998074247E-01  0.0000000000000000E+00  9.7524832415439799E-02
