START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
Real space primitive cell translation vectors (au)
  1.5277679893927271E+01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.1220248914008506E+01  0.0000000000000000E+00
 -9.2814465934518235E+00  0.0000000000000000E+00  1.3417622461327932E+01
Number of atoms in the primitive cell
 36
Positions of atoms (au)
  1 -2.3512133361057077E+00  7.6701117019284648E-01  6.3367640094229252E+00
  1  8.3474469011428134E+00  1.0453237800507441E+01  7.0808582629323933E+00
  1  7.0860674630930442E-01  6.3771358728614969E+00  7.0808608518571940E+00
  1  5.2876263273990078E+00  4.8431130033524852E+00  6.3367616283679977E+00
  1  2.5264967543903871E-01  3.6664937349999556E+00  3.7584041370552401E+00
  1  5.7435838518035442E+00  7.5537552734948550E+00  9.6592181730945992E+00
  1 -1.8952560573655679E+00  9.2766185510521737E+00  9.6592184187589964E+00
  1  7.8914891121766182E+00  1.9436303629563314E+00  3.7584040425689338E+00
  1 -6.8232530452715201E+00  4.6474307473537593E+00  1.3175788935766645E+01
  1  1.2819486534719582E+01  6.5728182422437920E+00  2.4183335548593451E-01
  1  5.1806468712148650E+00  1.0257554335083990E+01  2.4183380902020646E-01
  1  8.1558629697975205E-01  9.6269452223273055E-01  1.3175788614513200E+01
  1 -5.5520209531101115E+00  3.4100900430088950E+00  8.8498592418186348E+00
  1  1.1548254499249955E+01  7.8101589465886558E+00  4.5677630494339434E+00
  1  3.9094117932861669E+00  9.0202150858282479E+00  4.5677641454750999E+00
  1  2.0868213560111895E+00  2.2000338470775183E+00  8.8498583158528312E+00
  6 -1.7947467400015071E+00  2.2192030966886811E-01  4.4301624331980003E+00
  6  7.7909803428331355E+00  1.0998328642134158E+01  8.9874598580545779E+00
  6  1.5214039586950079E-01  5.8320447099813366E+00  8.9874606895340783E+00
  6  5.8440926967360722E+00  5.3882041284381232E+00  4.4301617528965922E+00
  6 -3.4145521966346931E-01  1.8457784918639029E+00  3.0014154128670731E+00
  6  6.3376888224950987E+00  9.3744704788363862E+00  1.0416206878385507E+01
  6 -1.3011518614617286E+00  7.4559031756352914E+00  1.0416207785454050E+01
  6  7.2973848973755171E+00  3.7643456438869078E+00  3.0014146380793583E+00
  6  3.9104987259632801E-01  1.1951814623407646E+00  5.0515382306858403E-01
  6  5.6051837113380403E+00  1.0025067508359523E+01  1.2912468449286733E+01
  6 -2.0336554041460970E+00  6.8053071098724809E+00  1.2912470225629299E+01
  6  8.0298884589571458E+00  4.4149417096497174E+00  5.0515223569863232E-01
  6 -7.4098959409985801E+00  2.8326327280685657E+00  1.2399878686166074E+01
  6  1.3406129506035688E+01  8.3876162426317258E+00  1.0177436050865052E+00
  6  5.7672887086952915E+00  8.4427574685317399E+00  1.0177457782715578E+00
  6  2.2894440280754266E-01  2.7774914076822448E+00  1.2399876701953636E+01
  6 -6.7116158299095661E+00  2.1380303830821110E+00  9.9864227790173654E+00
  6  1.2707849451638454E+01  9.0822185876181791E+00  3.4311995122352141E+00
  6  5.0690076905377319E+00  7.7481543298603084E+00  3.4312010429133810E+00
  6  9.2722543986236272E-01  3.4720945652509361E+00  9.9864214562090705E+00
Energy cutoff used for G-vectors (au)
  3.0000000000000000E+01
Number of particle types (1=electrons,2=electrons/holes)
  1
Number of G-vectors
 18043
Primitive cell G-vectors (au)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
 -4.1126567324382091E-01  0.0000000000000000E+00  1.8379149751415724E-01
  4.1126567324382091E-01  0.0000000000000000E+00 -1.8379149751415724E-01
  0.0000000000000000E+00  0.0000000000000000E+00  4.6827858849724585E-01
  0.0000000000000000E+00  0.0000000000000000E+00 -4.6827858849724585E-01
  4.1126567324382091E-01  0.0000000000000000E+00  2.8448709098308861E-01
 -4.1126567324382091E-01  0.0000000000000000E+00 -2.8448709098308861E-01
  0.0000000000000000E+00 -5.5998626726854650E-01  0.0000000000000000E+00
  0.0000000000000000E+00  5.5998626726854650E-01  0.0000000000000000E+00
  4.1126567324382091E-01 -5.5998626726854650E-01 -1.8379149751415724E-01
  4.1126567324382091E-01  5.5998626726854650E-01 -1.8379149751415724E-01
 -4.1126567324382091E-01  5.5998626726854650E-01  1.8379149751415724E-01
 -4.1126567324382091E-01 -5.5998626726854650E-01  1.8379149751415724E-01
  0.0000000000000000E+00 -5.5998626726854650E-01 -4.6827858849724585E-01
  0.0000000000000000E+00  5.5998626726854650E-01 -4.6827858849724585E-01
  0.0000000000000000E+00  5.5998626726854650E-01  4.6827858849724585E-01
  0.0000000000000000E+00 -5.5998626726854650E-01  4.6827858849724585E-01
  4.1126567324382091E-01 -5.5998626726854650E-01  2.8448709098308861E-01
 -4.1126567324382091E-01 -5.5998626726854650E-01 -2.8448709098308861E-01
  4.1126567324382091E-01  5.5998626726854650E-01  2.8448709098308861E-01
 -4.1126567324382091E-01  5.5998626726854650E-01 -2.8448709098308861E-01
  4.1126567324382091E-01  0.0000000000000000E+00 -6.5207008601140304E-01
 -4.1126567324382091E-01  0.0000000000000000E+00  6.5207008601140304E-01
  8.2253134648764181E-01  0.0000000000000000E+00  1.0069559346893137E-01
 -8.2253134648764181E-01  0.0000000000000000E+00 -1.0069559346893137E-01
 -4.1126567324382091E-01  0.0000000000000000E+00 -7.5276567948033446E-01
  4.1126567324382091E-01  0.0000000000000000E+00  7.5276567948033446E-01
 -8.2253134648764181E-01  0.0000000000000000E+00  3.6758299502831449E-01
