START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
Real space primitive cell translation vectors (au)
  1.2373926718135191E+01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  1.4823011786354988E+01  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  1.1500873244742024E+01
Number of atoms in the primitive cell
 32
Positions of atoms (au)
  1  1.1908014929044850E+00  4.3811936197658312E+00  9.7042499311015167E+00
  1  1.1183125225230707E+01  1.0441818166589155E+01  1.7966233136405079E+00
  1  4.9961614693206222E+00  4.3811937898411832E+00  3.9538144236689226E+00
  1  7.3777657590406243E+00  3.0303120844390485E+00  9.7042508192727990E+00
  1  1.1183124866182741E+01  3.0303118954664354E+00  3.9538145748470135E+00
  1  7.3777652488145691E+00  1.0441817996513802E+01  7.5470588210731009E+00
  1  4.9961609590945670E+00  1.1792699701915938E+01  1.7966224254692253E+00
  1  1.1908018519524501E+00  1.1792699890888549E+01  7.5470586698950113E+00
  6  7.1022181964603648E-01  8.1697983772192606E-01  1.0520370850501523E+01
  6  1.1663704898489156E+01  1.4006031948633058E+01  9.8050239424050112E-01
  6  5.4767416528051269E+00  8.1698012118084595E-01  4.7699341903359880E+00
  6  6.8971853487889856E+00  6.5945254885377267E+00  1.0520371398522101E+01
  6  1.1663705181948075E+01  6.5945256586130787E+00  4.7699343604113400E+00
  6  6.8971850653300653E+00  1.4006031665174140E+01  6.7309390544060355E+00
  6  5.4767413693462075E+00  8.2284862978172573E+00  9.8050184621992242E-01
  6  7.1022153618711659E-01  8.2284861277419079E+00  6.7309388843306843E+00
  8  1.9442483600935689E+00  1.4717139010486045E+01  8.7935090447278483E+00
  8  3.7795648934488063E-01  3.2319447856740515E+00  1.0983587701153757E+01
  8  1.0429678358041622E+01  1.0587277586893928E-01  2.7073642000141760E+00
  8  1.1995970228790311E+01  1.1591067000680935E+01  5.1728554358826728E-01
  8  4.2427164162686264E+00  1.4717140352191599E+01  3.0430718365417353E+00
  8  8.1312118514419929E+00  7.5173777808751501E+00  8.7935094793648592E+00
  8  1.0429679567466346E+01  7.5173782155121609E+00  3.0430722144869615E+00
  8  8.1312103018665649E+00  1.0587143416338493E-01  8.4578014082002895E+00
  8  4.2427148666931966E+00  7.3056340054798357E+00  2.7073637653771656E+00
  8  1.9442471506688441E+00  7.3056335708428248E+00  8.4578010302550624E+00
  8  5.8090062650103524E+00  3.2319455226672420E+00  5.2331528929198328E+00
  8  6.5649198295152154E+00  4.1795603327157274E+00  1.0983588948373006E+01
  8  1.1995970115406744E+01  4.1795606350719083E+00  5.2331527984335260E+00
  8  6.5649204531248380E+00  1.1591066263687742E+01  6.2677203518221924E+00
  8  5.8090068886199768E+00  1.0643451453639258E+01  5.1728429636901951E-01
  8  3.7795660272844861E-01  1.0643451151283077E+01  6.2677204463084983E+00
Energy cutoff used for G-vectors (au)
  3.0000000000000000E+01
Number of particle types (1=electrons,2=electrons/holes)
  1
Number of G-vectors
 16595
Primitive cell G-vectors (au)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -4.2388047704066734E-01  0.0000000000000000E+00
  0.0000000000000000E+00  4.2388047704066734E-01  0.0000000000000000E+00
  5.0777618538591862E-01  0.0000000000000000E+00  0.0000000000000000E+00
 -5.0777618538591862E-01  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00 -5.4632245512766919E-01
  0.0000000000000000E+00  0.0000000000000000E+00  5.4632245512766919E-01
 -5.0777618538591862E-01 -4.2388047704066734E-01  0.0000000000000000E+00
  5.0777618538591862E-01 -4.2388047704066734E-01  0.0000000000000000E+00
 -5.0777618538591862E-01  4.2388047704066734E-01  0.0000000000000000E+00
  5.0777618538591862E-01  4.2388047704066734E-01  0.0000000000000000E+00
  0.0000000000000000E+00 -4.2388047704066734E-01 -5.4632245512766919E-01
  0.0000000000000000E+00  4.2388047704066734E-01 -5.4632245512766919E-01
  0.0000000000000000E+00 -4.2388047704066734E-01  5.4632245512766919E-01
  0.0000000000000000E+00  4.2388047704066734E-01  5.4632245512766919E-01
 -5.0777618538591862E-01  0.0000000000000000E+00 -5.4632245512766919E-01
  5.0777618538591862E-01  0.0000000000000000E+00 -5.4632245512766919E-01
 -5.0777618538591862E-01  0.0000000000000000E+00  5.4632245512766919E-01
  5.0777618538591862E-01  0.0000000000000000E+00  5.4632245512766919E-01
  0.0000000000000000E+00 -8.4776095408133467E-01  0.0000000000000000E+00
  0.0000000000000000E+00  8.4776095408133467E-01  0.0000000000000000E+00
  5.0777618538591862E-01 -4.2388047704066734E-01 -5.4632245512766919E-01
 -5.0777618538591862E-01  4.2388047704066734E-01 -5.4632245512766919E-01
  5.0777618538591862E-01  4.2388047704066734E-01 -5.4632245512766919E-01
 -5.0777618538591862E-01 -4.2388047704066734E-01 -5.4632245512766919E-01
 -5.0777618538591862E-01 -4.2388047704066734E-01  5.4632245512766919E-01
  5.0777618538591862E-01 -4.2388047704066734E-01  5.4632245512766919E-01
 -5.0777618538591862E-01  4.2388047704066734E-01  5.4632245512766919E-01
  5.0777618538591862E-01  4.2388047704066734E-01  5.4632245512766919E-01
  5.0777618538591862E-01 -8.4776095408133467E-01  0.0000000000000000E+00
 -5.0777618538591862E-01  8.4776095408133467E-01  0.0000000000000000E+00
 -5.0777618538591862E-01 -8.4776095408133467E-01  0.0000000000000000E+00
